pcd,reg,lat,long
SE1 1NQ,SE1,51.504464,-0.090207
SE1 1NR,SE1,51.503411,-0.092355
SE1 1NS,SE1,51.504286,-0.090878
SE1 1NT,SE1,51.504286,-0.090878
SE1 1NU,SE1,51.501838,-0.094063
SE1 1NW,SE1,51.503387,-0.090915
SE1 1NX,SE1,51.504573,-0.08963
SE1 1NY,SE1,51.499949,-0.096246
SE1 1NZ,SE1,51.500221,-0.097474
SE1 1PA,SE1,51.500221,-0.097474
SE1 1PB,SE1,51.492762,-0.080152
SE1 1PD,SE1,51.499886,-0.096825
SE1 1PE,SE1,51.500501,-0.098096
SE1 1PF,SE1,51.501218,-0.097853
SE1 1PG,SE1,51.501251,-0.09782
SE1 1PH,SE1,51.500624,-0.09737
SE1 1PJ,SE1,51.501355,-0.097023
SE1 1PL,SE1,51.501355,-0.097023
SE1 1PN,SE1,51.500751,-0.096371
SE1 1PP,SE1,51.500464,-0.096862
SE1 1PQ,SE1,51.500757,-0.097855
SE1 1PR,SE1,51.499886,-0.096825
SE1 1PS,SE1,51.499881,-0.098179
SE1 1PT,SE1,51.499657,-0.098203
SE1 1PU,SE1,51.500014,-0.097468
SE1 1PW,SE1,51.500785,-0.096787
SE1 1PX,SE1,51.499636,-0.097484
SE1 1PY,SE1,51.504168,-0.089168
SE1 1PZ,SE1,51.500543,-0.096264
SE1 1QA,SE1,51.499933,-0.099704
SE1 1QB,SE1,51.499933,-0.099704
SE1 1QD,SE1,51.499933,-0.099704
SE1 1QE,SE1,51.500249,-0.098668
SE1 1QF,SE1,51.500063,-0.098863
SE1 1QG,SE1,51.499846,-0.099333
SE1 1QH,SE1,51.501264,-0.097473
SE1 1QJ,SE1,51.492762,-0.080152
SE1 1QL,SE1,51.501049,-0.094197
SE1 1QN,SE1,51.500894,-0.094636
SE1 1QP,SE1,51.500925,-0.095863
SE1 1QQ,SE1,51.499561,-0.098942
SE1 1QR,SE1,51.501453,-0.097494
SE1 1QS,SE1,51.501651,-0.096967
SE1 1QT,SE1,51.501671,-0.097082
SE1 1QU,SE1,51.501761,-0.096545
SE1 1QW,SE1,51.50026,-0.096002
SE1 1QX,SE1,51.502077,-0.096604
SE1 1QY,SE1,51.501707,-0.09819
SE1 1QZ,SE1,51.501499,-0.096469
SE1 1RB,SE1,51.500923,-0.095888
